date,source,market,code,name,shares,share_unit,close,source_file,industry,shares_change,shares_change_pct,cash_proxy
2026-08-18,akshare_fund_scale_daily_szse,SZ,158003,港股通医疗ETF嘉实,259654396.0,份,,akshare:szse_daily,未分类,,,
2026-08-19,akshare_fund_scale_daily_szse,SZ,158003,港股通医疗ETF嘉实,219654396.0,份,,akshare:szse_daily,未分类,-40000000.0,-0.1540509254462997,
2026-08-20,akshare_fund_scale_daily_szse,SZ,158003,港股通医疗ETF嘉实,189654396.0,份,,akshare:szse_daily,未分类,-30000000.0,-0.1365781907683741,
2026-08-21,akshare_fund_scale_daily_szse,SZ,158003,港股通医疗ETF嘉实,169654396.0,份,,akshare:szse_daily,未分类,-20000000.0,-0.1054549771680483,
2026-08-21,akshare_fund_scale_daily_szse,SZ,158005,工程机械ETF博时,225061376.0,份,,akshare:szse_daily,未分类,,,
2026-08-06,akshare_fund_scale_daily_szse,SZ,158006,化工ETF博时,213046012.0,份,,akshare:szse_daily,未分类,,,
2026-08-07,akshare_fund_scale_daily_szse,SZ,158006,化工ETF博时,94046012.0,份,,akshare:szse_daily,未分类,-119000000.0,-0.5585647855262365,
2026-08-10,akshare_fund_scale_daily_szse,SZ,158006,化工ETF博时,41046012.0,份,,akshare:szse_daily,未分类,-53000000.0,-0.5635539335788103,
2026-08-11,akshare_fund_scale_daily_szse,SZ,158006,化工ETF博时,39046012.0,份,,akshare:szse_daily,未分类,-2000000.0,-0.0487258055666894,
2026-08-12,akshare_fund_scale_daily_szse,SZ,158006,化工ETF博时,39046012.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-08-13,akshare_fund_scale_daily_szse,SZ,158006,化工ETF博时,39046012.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-08-14,akshare_fund_scale_daily_szse,SZ,158006,化工ETF博时,39046012.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-08-17,akshare_fund_scale_daily_szse,SZ,158006,化工ETF博时,37046012.0,份,,akshare:szse_daily,未分类,-2000000.0,-0.0512216202771233,
2026-08-18,akshare_fund_scale_daily_szse,SZ,158006,化工ETF博时,37046012.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-08-19,akshare_fund_scale_daily_szse,SZ,158006,化工ETF博时,35046012.0,份,,akshare:szse_daily,未分类,-2000000.0,-0.0539869176741615,
2026-08-20,akshare_fund_scale_daily_szse,SZ,158006,化工ETF博时,41046012.0,份,,akshare:szse_daily,未分类,6000000.0,0.1712035024127709,
2026-08-21,akshare_fund_scale_daily_szse,SZ,158006,化工ETF博时,41046012.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-08-05,akshare_fund_scale_daily_szse,SZ,158009,航空航天ETF南方,216373819.0,份,,akshare:szse_daily,未分类,,,
2026-08-06,akshare_fund_scale_daily_szse,SZ,158009,航空航天ETF南方,106373819.0,份,,akshare:szse_daily,未分类,-110000000.0,-0.5083794356839447,
2026-08-07,akshare_fund_scale_daily_szse,SZ,158009,航空航天ETF南方,75373819.0,份,,akshare:szse_daily,未分类,-31000000.0,-0.2914250921084256,
2026-08-10,akshare_fund_scale_daily_szse,SZ,158009,航空航天ETF南方,48373819.0,份,,akshare:szse_daily,未分类,-27000000.0,-0.3582145678461642,
