date,source,market,code,name,shares,share_unit,close,source_file,industry,shares_change,shares_change_pct,cash_proxy
2024-04-24,akshare_fund_etf_scale_sse,SH,516180,光伏产业,120987000.0,份,,akshare:20240424,未分类,1000000.0,0.0083342362089226,
2024-04-25,akshare_fund_etf_scale_sse,SH,516180,光伏产业,119987000.0,份,,akshare:20240425,未分类,-1000000.0,-0.0082653508228156,
2024-04-26,akshare_fund_etf_scale_sse,SH,516180,光伏产业,119987000.0,份,,akshare:20240426,未分类,0.0,0.0,
2024-04-29,akshare_fund_etf_scale_sse,SH,516180,光伏产业,120987000.0,份,,akshare:20240429,未分类,1000000.0,0.0083342362089226,
2024-04-30,akshare_fund_etf_scale_sse,SH,516180,光伏产业,120987000.0,份,,akshare:20240430,未分类,0.0,0.0,
2024-05-06,akshare_fund_etf_scale_sse,SH,516180,光伏产业,119987000.0,份,,akshare:20240506,未分类,-1000000.0,-0.0082653508228156,
2024-05-07,akshare_fund_etf_scale_sse,SH,516180,光伏产业,119987000.0,份,,akshare:20240507,未分类,0.0,0.0,
2024-05-08,akshare_fund_etf_scale_sse,SH,516180,光伏产业,119987000.0,份,,akshare:20240508,未分类,0.0,0.0,
2024-05-09,akshare_fund_etf_scale_sse,SH,516180,光伏产业,116987000.0,份,,akshare:20240509,未分类,-3000000.0,-0.0250027086267679,
2024-05-10,akshare_fund_etf_scale_sse,SH,516180,光伏产业,116987000.0,份,,akshare:20240510,未分类,0.0,0.0,
2024-05-13,akshare_fund_etf_scale_sse,SH,516180,光伏产业,116987000.0,份,,akshare:20240513,未分类,0.0,0.0,
2024-05-14,akshare_fund_etf_scale_sse,SH,516180,光伏产业,116987000.0,份,,akshare:20240514,未分类,0.0,0.0,
2024-05-15,akshare_fund_etf_scale_sse,SH,516180,光伏产业,117987000.0,份,,akshare:20240515,未分类,1000000.0,0.0085479583201552,
2024-05-16,akshare_fund_etf_scale_sse,SH,516180,光伏产业,117987000.0,份,,akshare:20240516,未分类,0.0,0.0,
2024-05-17,akshare_fund_etf_scale_sse,SH,516180,光伏产业,118987000.0,份,,akshare:20240517,未分类,1000000.0,0.008475510013815,
2024-05-20,akshare_fund_etf_scale_sse,SH,516180,光伏产业,118987000.0,份,,akshare:20240520,未分类,0.0,0.0,
2024-05-21,akshare_fund_etf_scale_sse,SH,516180,光伏产业,119987000.0,份,,akshare:20240521,未分类,1000000.0,0.0084042794591005,
2024-05-22,akshare_fund_etf_scale_sse,SH,516180,光伏产业,116987000.0,份,,akshare:20240522,未分类,-3000000.0,-0.0250027086267679,
2024-05-23,akshare_fund_etf_scale_sse,SH,516180,光伏产业,116987000.0,份,,akshare:20240523,未分类,0.0,0.0,
2024-05-24,akshare_fund_etf_scale_sse,SH,516180,光伏产业,116987000.0,份,,akshare:20240524,未分类,0.0,0.0,
2024-05-27,akshare_fund_etf_scale_sse,SH,516180,光伏产业,116987000.0,份,,akshare:20240527,未分类,0.0,0.0,
2024-05-28,akshare_fund_etf_scale_sse,SH,516180,光伏产业,116987000.0,份,,akshare:20240528,未分类,0.0,0.0,
2024-05-29,akshare_fund_etf_scale_sse,SH,516180,光伏产业,116987000.0,份,,akshare:20240529,未分类,0.0,0.0,
2024-05-30,akshare_fund_etf_scale_sse,SH,516180,光伏产业,115987000.0,份,,akshare:20240530,未分类,-1000000.0,-0.0085479583201552,
2024-05-31,akshare_fund_etf_scale_sse,SH,516180,光伏产业,115987000.0,份,,akshare:20240531,未分类,0.0,0.0,
2024-06-03,akshare_fund_etf_scale_sse,SH,516180,光伏产业,115987000.0,份,,akshare:20240603,未分类,0.0,0.0,
2024-06-04,akshare_fund_etf_scale_sse,SH,516180,光伏产业,115987000.0,份,,akshare:20240604,未分类,0.0,0.0,
2024-06-05,akshare_fund_etf_scale_sse,SH,516180,光伏产业,115987000.0,份,,akshare:20240605,未分类,0.0,0.0,
2024-06-06,akshare_fund_etf_scale_sse,SH,516180,光伏产业,117987000.0,份,,akshare:20240606,未分类,2000000.0,0.0172433117504547,
2024-06-07,akshare_fund_etf_scale_sse,SH,516180,光伏产业,117987000.0,份,,akshare:20240607,未分类,0.0,0.0,
2024-06-11,akshare_fund_etf_scale_sse,SH,516180,光伏产业,117987000.0,份,,akshare:20240611,未分类,0.0,0.0,
2024-06-12,akshare_fund_etf_scale_sse,SH,516180,光伏产业,118987000.0,份,,akshare:20240612,未分类,1000000.0,0.008475510013815,
2024-06-13,akshare_fund_etf_scale_sse,SH,516180,光伏产业,118987000.0,份,,akshare:20240613,未分类,0.0,0.0,
2024-06-14,akshare_fund_etf_scale_sse,SH,516180,光伏产业,118987000.0,份,,akshare:20240614,未分类,0.0,0.0,
2024-06-17,akshare_fund_etf_scale_sse,SH,516180,光伏产业,119987000.0,份,,akshare:20240617,未分类,1000000.0,0.0084042794591005,
2024-06-18,akshare_fund_etf_scale_sse,SH,516180,光伏产业,119987000.0,份,,akshare:20240618,未分类,0.0,0.0,
2024-06-19,akshare_fund_etf_scale_sse,SH,516180,光伏产业,121987000.0,份,,akshare:20240619,未分类,2000000.0,0.0166684724178452,
2024-06-20,akshare_fund_etf_scale_sse,SH,516180,光伏产业,121987000.0,份,,akshare:20240620,未分类,0.0,0.0,
