date,source,market,code,name,shares,share_unit,close,source_file,industry,shares_change,shares_change_pct,cash_proxy
2025-09-24,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,35608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-09-25,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,35608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-09-26,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,35608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-09-29,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,-2000000.0,-0.0561666139917438,
2025-09-30,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-09,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-10,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-13,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-14,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-15,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-16,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-17,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-20,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-21,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-22,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-23,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-24,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-27,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-28,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-29,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-30,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-31,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-03,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-04,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-05,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-06,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-07,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-10,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-11,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-12,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-13,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-14,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-17,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-18,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-19,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-20,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-21,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-24,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-25,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-26,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-27,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-28,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-01,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-02,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-03,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-04,akshare_fund_scale_daily_szse,SZ,159944,材料ETF,33608342.0,份,,akshare:szse_daily,未分类,0.0,0.0,
