date,source,market,code,name,shares,share_unit,close,source_file,industry,shares_change,shares_change_pct,cash_proxy
2025-10-23,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,125309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-24,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,117309274.0,份,,akshare:szse_daily,未分类,-8000000.0,-0.0638420425291108,
2025-10-27,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,117309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-28,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,117309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-29,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,117309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-10-30,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,119309274.0,份,,akshare:szse_daily,未分类,2000000.0,0.0170489504521185,
2025-10-31,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,123309274.0,份,,akshare:szse_daily,未分类,4000000.0,0.0335263124641928,
2025-11-03,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,125309274.0,份,,akshare:szse_daily,未分类,2000000.0,0.0162193802227722,
2025-11-04,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,125309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-05,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,2000000.0,0.0159605106322777,
2025-11-06,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,125309274.0,份,,akshare:szse_daily,未分类,-2000000.0,-0.015709774607622,
2025-11-07,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,125309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-10,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,125309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-11,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,125309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-12,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,125309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-13,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,125309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-14,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,2000000.0,0.0159605106322777,
2025-11-17,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-18,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-19,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-20,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-21,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-24,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-25,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-11-26,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,125309274.0,份,,akshare:szse_daily,未分类,-2000000.0,-0.015709774607622,
2025-11-27,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,2000000.0,0.0159605106322777,
2025-11-28,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-01,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-02,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-03,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-04,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-05,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-08,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-09,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-10,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-11,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-12,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-15,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-16,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-17,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-18,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-19,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,127309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-22,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,123309274.0,份,,akshare:szse_daily,未分类,-4000000.0,-0.0314195492152441,
2025-12-23,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,121309274.0,份,,akshare:szse_daily,未分类,-2000000.0,-0.0162193802227722,
2025-12-24,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,119309274.0,份,,akshare:szse_daily,未分类,-2000000.0,-0.0164867856681757,
2025-12-25,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,117309274.0,份,,akshare:szse_daily,未分类,-2000000.0,-0.0167631562320964,
2025-12-26,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,117309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-29,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,117309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2025-12-30,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,115309274.0,份,,akshare:szse_daily,未分类,-2000000.0,-0.0170489504521185,
2025-12-31,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,115309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-01-05,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,115309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-01-06,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,113309274.0,份,,akshare:szse_daily,未分类,-2000000.0,-0.0173446586785378,
2026-01-07,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,111309274.0,份,,akshare:szse_daily,未分类,-2000000.0,-0.0176508058819616,
2026-01-08,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,111309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-01-09,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,109309274.0,份,,akshare:szse_daily,未分类,-2000000.0,-0.0179679547635896,
2026-01-12,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,103309274.0,份,,akshare:szse_daily,未分类,-6000000.0,-0.0548901276208274,
2026-01-13,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,103309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-01-14,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,101309274.0,份,,akshare:szse_daily,未分类,-2000000.0,-0.0193593461899654,
2026-01-15,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,101309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-01-16,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,101309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-01-19,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,101309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-01-20,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,101309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-01-21,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,109309274.0,份,,akshare:szse_daily,未分类,8000000.0,0.0789661171592247,
2026-01-22,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,109309274.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-01-23,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,117309274.0,份,,akshare:szse_daily,未分类,8000000.0,0.0731868368277699,
2026-01-26,akshare_fund_scale_daily_szse,SZ,159546,集成电路ETF,121309274.0,份,,akshare:szse_daily,未分类,4000000.0,0.0340979009042371,
