code,name,industry
510300,沪深300ETF,宽基指数
510500,中证500ETF,宽基指数
510050,上证50ETF,宽基指数
159919,沪深300ETF,宽基指数
159922,中证500ETF,宽基指数
159915,创业板ETF,宽基指数
159941,纳指ETF,海外指数
159766,旅游ETF,消费
512880,证券ETF,金融
512800,银行ETF,金融
512000,券商ETF,金融
512660,军工ETF,军工
512480,半导体ETF,科技
515030,新能源车ETF,新能源
515790,光伏ETF,新能源
516160,新能源ETF,新能源
512690,酒ETF,消费
159928,消费ETF,消费
510880,红利ETF,红利策略
515180,红利ETF,红利策略
