date,plot_industry,shares,change_pct_from_start
2026-06-11,科技,240106676646.0,0.7623206432303187
2026-06-11,资源周期,109759747932.0,-2.5563584845262333
2026-06-11,金融,238727363613.0,2.8563267038119067
2026-06-11,高端制造,6412897011.0,28.44127217994703
2026-06-12,公用事业,20951461990.0,8.41377039700979
2026-06-12,军工,32621771779.0,-1.3493419039487642
2026-06-12,农业,7754739993.0,15.527289625871932
2026-06-12,医药医疗,286520040494.0,2.4247653396411994
2026-06-12,地产基建,7687016012.0,-3.8734408326464354
2026-06-12,新能源,62628879085.0,-6.164057362627462
2026-06-12,汽车,1831900128.0,-7.311272548146686
2026-06-12,消费,117030741138.0,0.5042596833082946
2026-06-12,科技,241196176646.0,1.2195363686499539
2026-06-12,资源周期,110387947932.0,-1.9986486067854026
2026-06-12,金融,236368263613.0,1.839902123677395
2026-06-12,高端制造,6395897011.0,28.10078618378744
2026-06-15,公用事业,21073161990.0,9.043509546650697
2026-06-15,军工,32746371779.0,-0.9725422597712363
2026-06-15,农业,7577739993.0,12.890408146642773
2026-06-15,医药医疗,287483140494.0,2.769052920113846
2026-06-15,地产基建,7718266012.0,-3.482657859215599
2026-06-15,新能源,63182379085.0,-5.334756327568291
2026-06-15,汽车,1824400128.0,-7.690750362064335
2026-06-15,消费,117505246306.0,0.911757663428836
2026-06-15,科技,240015576646.0,0.7240899387000566
2026-06-15,资源周期,112722747932.0,0.07416422758153018
2026-06-15,金融,237270763613.0,2.2287466760793295
2026-06-15,高端制造,6701897011.0,34.22953411465981
2026-06-16,公用事业,20973961990.0,8.530197109145533
2026-06-16,军工,32653571779.0,-1.2531763446803401
2026-06-16,农业,7653239993.0,14.015179625071017
2026-06-16,医药医疗,287566640494.0,2.7989023780823574
2026-06-16,地产基建,7685266012.0,-3.8953246791585627
2026-06-16,新能源,63190879085.0,-5.322020900652302
2026-06-16,汽车,1792900128.0,-9.28455718051846
2026-06-16,消费,117444146306.0,0.859285892277617
2026-06-16,科技,239699176646.0,0.5913106311986605
2026-06-16,资源周期,112553347932.0,-0.07622745228045291
2026-06-16,金融,235651363613.0,1.5310238304730328
2026-06-16,高端制造,7083097011.0,41.86443186383806
2026-06-17,公用事业,20674161990.0,6.978875851443478
2026-06-17,军工,32667371779.0,-1.2114441208468718
2026-06-17,农业,7660739993.0,14.12691189114006
2026-06-17,医药医疗,287044240494.0,2.612155589546461
2026-06-17,地产基建,7423766012.0,-7.165396600827789
2026-06-17,新能源,63825790823.0,-4.3707418374280715
2026-06-17,汽车,1782900128.0,-9.790527599075327
2026-06-17,消费,117250146306.0,0.6926815779840778
2026-06-17,科技,238427038068.0,0.05744944462262591
2026-06-17,资源周期,111444647932.0,-1.0605205777998172
2026-06-17,金融,234207963613.0,0.9091310582437062
2026-06-17,高端制造,7283597011.0,45.880163759720105
2026-06-18,公用事业,20041461990.0,3.7049567061863575
2026-06-18,军工,32333171779.0,-2.2220897154225816
2026-06-18,农业,7656739993.0,14.067321349236561
2026-06-18,医药医疗,285361040494.0,2.010447713467567
2026-06-18,地产基建,7301516012.0,-8.694139592889217
2026-06-18,新能源,63450290823.0,-4.93334805001111
2026-06-18,汽车,1767900128.0,-10.549483226910617
2026-06-18,消费,116973946306.0,0.4554851263970816
2026-06-18,科技,238238838068.0,-0.02152990326537152
2026-06-18,资源周期,109617947932.0,-2.6822471516125934
2026-06-18,金融,234050163613.0,0.8411425038182152
2026-06-18,高端制造,7396597011.0,48.14339420478082
2026-06-22,公用事业,20040061990.0,3.6977123774312393
2026-06-22,军工,32125771779.0,-2.8492827026009193
